length,prime
1,2
1,3
1,5
1,7
2,11
2,13
2,17
2,19
2,23
2,29
2,31
2,37
2,41
2,43
2,47
2,53
2,59
2,61
2,67
2,71
2,73
2,79
2,83
2,89
2,97
3,101
3,103
3,107
3,109
3,113
3,127
3,131
3,137
3,139
3,149
3,151
3,157
3,163
3,167
3,173
3,179
3,181
3,191
3,193
3,197
3,199
3,211
3,223
3,227
3,229
3,233
3,239
3,241
3,251
3,257
3,263
3,269
3,271
3,277
3,281
3,283
3,293
3,307
3,311
3,313
3,317
3,331
3,337
3,347
3,349
3,353
3,359
3,367
3,373
3,379
3,383
3,389
3,397
3,401
3,409
3,419
3,421
3,431
3,433
3,439
3,443
3,449
3,457
3,461
3,463
3,467
3,479
3,487
3,491
3,499
3,503
3,509
3,521
3,523
3,541
3,547
3,557
3,563
3,569
3,571
3,577
3,587
3,593
3,599
3,601
3,607
3,613
3,617
3,619
3,631
3,641
3,643
3,647
3,653
3,659
3,661
3,673
3,677
3,683
3,691
3,701
3,709
3,719
3,727
3,733
3,739
3,743
3,751
3,757
3,761
3,769
3,773
3,787
3,797
3,809
3,811
3,821
3,823
3,827
3,829
3,839
3,853
3,857
3,859
3,863
3,877
3,881
3,883
3,887
3,907
3,911
3,919
3,929
3,937
3,941
3,947
3,953
3,967
3,971
3,977
3,983
3,991
3,997
4,1009
4,1013
4,1019
4,1021
4,1031
4,1033
4,1039
4,1049
4,1051
4,1061
4,1063
4,1069
4,1087
4,1091
4,1093
4,1097
4,1103
4,1109
4,1117
4,1123
4,1129
4,1151
4,1153
4,1163
4,1171
4,1181
4,1187
4,1193
4,1201
4,1213
4,1217
4,1223
4,1229
4,1231
4,1237
4,1249
4,1259
4,1277
4,1279
4,1283
4,1289
4,1291
4,1297
4,1301
4,1303
4,1307
4,1319
4,1321
4,1327
4,1361
4,1367
4,1373
4,1381
4,1399
4,1409
4,1423
4,1427
4,1429
4,1433
4,1439
4,1447
4,1451
4,1453
4,1459
4,1471
4,1481
4,1483
4,1487
4,1489
4,1493
4,1499
4,1511
4,1523
4,1531
4,1543
4,1549
4,1553
4,1559
4,1567
4,1571
4,1579
4,1583
4,1597
4,1601
4,1607
4,1609
4,1613
4,1619
4,1621
4,1627
4,1637
4,1657
4,1663
4,1667
4,1669
4,1693
4,1697
4,1699
4,1709
4,1721
4,1723
4,1733
4,1741
4,1747
4,1753
4,1759
4,1777
4,1783
4,1787
4,1789
4,1801
4,1811
4,1823
4,1831
4,1847
4,1861
4,1867
4,1871
4,1873
4,1877
4,1879
4,1889
4,1901
4,1907
4,1913
4,1931
4,1933
4,1949
4,1951
4,1973
4,1979
4,1987
4,1993
4,1997
4,1999
4,2003
4,2011
4,2017
4,2027
4,2029
4,2039
4,2053
4,2063
4,2069
4,2081
4,2083
4,2087
4,2089
4,2099
4,2111
4,2113
4,2129
4,2131
4,2137
4,2141
4,2143
4,2153
4,2161
4,2179
4,2203
4,2207
4,2213
4,2221
4,2237
4,2239
4,2243
4,2251
4,2267
4,2269
4,2273
4,2281
4,2287
4,2293
4,2297
4,2309
4,2311
4,2333
4,2339
4,2341
4,2347
4,2351
4,2357
4,2371
4,2377
4,2381
4,2383
4,2389
4,2393
4,2399
4,2411
4,2417
4,2423
4,2437
4,2441
4,2447
4,2459
4,2467
4,2473
4,2477
4,2503
4,2521
4,2531
4,2539
4,2543
4,2549
4,2551
4,2557
4,2579
4,2591
4,2593
4,2609
4,2617
4,2621
4,2633
